Title,Date,view_count,like_count,comment_count,url
مارسل كولر يحفز #جماهير_الاهلي والجمهور يرد بالدم بالروح افريقيا مش هتروح #الاهلي_الهلال_السوداني,2025-04-01,8995,66,1,https://youtu.be/oGJZ2tEkIyE
حوار جانبي بين عمر كمال وحكم المباراة بين شوطي مباراة الأهلي والهلال السوداني,2025-04-01,8725,86,2,https://youtu.be/FrjyfKlp-dg
هدف ريال مدريد الرابع في مرمى ريال سوسيداد عن طريق أنطونيو روديجر في كاس ملك إسبانيا,2025-04-01,8348,35,1,https://youtu.be/IXn6zCRKhsY
بث مباشر مباراة بيراميدز و الجيش الملكي اليوم في دوري أبطال أفريقيا 2025 بث مباشر مباريات اليوم,2025-04-01,7745,65,3,https://youtu.be/dlmzSHggILk
ريال مدريد الى نهائي كأس الملك #ريال_مدريد #ريال_سوسيداد,2025-04-01,7561,460,61,https://youtu.be/7IJ2HZseBS8
المحترف السعودي مهند آل سعد يسجل هدف ضد باريس سان جيرمان في نصف نهائي كأس فرنسا‏,2025-04-01,6424,56,2,https://youtu.be/SQf6hNPYg2Y
هتافات قوية من جماهير الهلال السوداني قبل مواجهة الأهلي في دوري أبطال أفريقيا,2025-04-01,6284,69,1,https://youtu.be/Y2hjFixypS0
نتائج مواجهات ذهاب ربع النهائي دوري ابطال افريقيا 2025,2025-04-01,5996,96,5,https://youtu.be/hwPuYhigltg
نتائج مواجهات ذهاب ربع النهائي دوري ابطال افريقيا 2025,2025-04-01,5996,96,5,https://youtu.be/hwPuYhigltg
مباراة الأهلي والهلال السوداني جمهور الاهلي/شقيق استاذ حسين فؤاد رغم الإصابة الأهلي البابا 🏟️#جمهورك,2025-04-01,5322,47,3,https://youtu.be/u-Ll71gi7cM
تفاصيل مباراة الأهلي ضد الهلال في ذهاب ربع النهائي دوري أبطال أفريقيا,2025-04-01,4571,46,0,https://youtu.be/PuEVXLYy8r0
هدف التاني خرافي بيراميدز ضد الجيش الملكي 👏🏾🏆🔥 pyramid Vs ASFAR,2025-04-01,4416,32,0,https://youtu.be/ijIST2ioaso
تعليق رضا عبد العال على فوز الاهلي الغير مستحق على الهلال السوداني في دوري ابطال افريقيا,2025-04-01,4205,27,0,https://youtu.be/HHAtlAySb_s
دوري أبطال إفريقيا - ربع النهائيصن داونز 🆚 الترجي الرياضي ⏰ 13:00 🎤 عصام الشوالي,2025-04-01,2983,9,1,https://youtu.be/cUBsce3K-00
الاهلي ضيع فوز كبير على الهلال السوداني فى دوري ابطال افريقيا😓#الاهلي #shorts,2025-04-01,2398,35,9,https://youtu.be/Aj0sBbUSQsM
عودة  الوداد الرياضي لعصبة الأبطال الإفريقية أصبح ضرورة# الوداد الرياضي#عصبة الأبطال الإفريقية,2025-04-01,2304,17,0,https://youtu.be/eOfYszhl02Y
دوري أبطال إفريقيا - ربع النهائي بيراميدز 🆚 الجيش الملكي ⏰ 16:00 🎤 محمد بركات,2025-04-01,2177,8,1,https://youtu.be/k32Lqvg4jh4
انتهت مباراة الاهلي والهلال السوداني 1-0 الدوري في ذهاب دوري ابطال افريقيا 2025 / دور الثمانية,2025-04-01,2045,18,5,https://youtu.be/-wGdAsKTnkM
تحليل مباراه الاهلي و الهلال السوداني 1-0 و رد فعل صادم من وائل جمعه 😲🔥,2025-04-01,2014,24,0,https://youtu.be/OFicEmxCw5I
الأهلي المصري ضد الهلال السوداني يلتقيان في القاهرة في أبرز مباريات اليوم,2025-04-01,1937,20,8,https://youtu.be/iLTlHC4aMh0
ريال مدريد الي نهائي كأس الملك بعد مباراة مجنونة 🤯🔥👑🤍#football #footballshorts #edit #realmadrid,2025-04-01,1786,21,1,https://youtu.be/nFAe3_PrXY8
موعد مباراة برشلونة القادمة ضد ريال بيتيس في دور الجولة 30 من الدوري الاسباني2025 🔥القنوات الناقلة 🔥,2025-04-01,1703,18,3,https://youtu.be/GDN4MMHawSU
نوتنغهام فورست 🆚 مانشستر يونايتد ⏰ 19:00 🎤 جواد بدة الدوري الإنجليزي - الجولة 30  #مزراوي,2025-04-01,1663,9,0,https://youtu.be/tuN3DznC9Y4
نصيحة لجراديشار #الاهلى #الاهلي,2025-04-01,1637,17,1,https://youtu.be/M6RSLzDccnU
الهدف الاول للنادى #الاهلى عن طريق #محمد_هانى فى فريق #الهلال_السودانى #اكسبلور #اهلاوي,2025-04-01,1573,9,0,https://youtu.be/VmA10tX_wCg
"بطولة دورى الأمم الأوروبية ج2,😱🔥#دوري_الامم_الاوروبية #البرتغال #رونالدو #realmadrid #ليفربول",2025-04-01,1562,15,0,https://youtu.be/oAynrmI2z_E
